Component,Date,Observed_baseline_degree,Observed_baseline_minute,Date_baseline_means,Baseline_means_degree,Baseline_means_minute,Decimal_year,Month,Baseline_means_dd
D,1964-01-06,15,57.67,1964-01-06,15,57.69,1964.0136612021859,1,15.9615
D,1964-01-13,15,57.68,1964-01-13,15,57.65,1964.032786885246,1,15.960833333333333
D,1964-01-20,15,57.69,1964-01-20,15,57.61,1964.051912568306,1,15.960166666666666
D,1964-01-27,15,57.56,1964-01-27,15,57.57,1964.0710382513662,1,15.9595
D,1964-02-03,15,57.56,1964-02-03,15,57.54,1964.0901639344263,2,15.959
D,1964-02-10,15,57.49,1964-02-10,15,57.52,1964.1092896174864,2,15.958666666666666
D,1964-02-17,15,57.5,1964-02-17,15,57.42,1964.1284153005465,2,15.957
D,1964-02-24,15,57.27,1964-02-24,15,57.44,1964.1475409836066,2,15.957333333333333
D,1964-03-03,15,57.54,1964-03-03,15,57.48,1964.1693989071039,3,15.958
D,1964-03-09,15,57.63,1964-03-09,15,57.59,1964.1857923497269,3,15.959833333333334
D,1964-03-16,15,57.6,1964-03-16,15,57.62,1964.204918032787,3,15.960333333333333
D,1964-03-23,15,57.62,1964-03-23,15,57.56,1964.224043715847,3,15.959333333333333
D,1964-03-30,15,57.46,1964-03-30,15,57.53,1964.2431693989072,3,15.958833333333333
D,1964-04-06,15,57.52,1964-04-06,15,57.57,1964.2622950819673,4,15.9595
D,1964-04-13,15,57.56,1964-04-13,15,57.51,1964.2814207650274,4,15.9585
D,1964-04-20,15,57.45,1964-04-20,15,57.45,1964.3005464480875,4,15.9575
D,1964-04-27,15,57.34,1964-04-27,15,57.4,1964.3196721311476,4,15.956666666666667
D,1964-05-04,15,57.42,1964-05-04,15,57.41,1964.3387978142077,5,15.956833333333334
D,1964-05-11,15,57.48,1964-05-11,15,57.43,1964.3579234972678,5,15.957166666666666
D,1964-05-18,15,57.39,1964-05-18,15,57.45,1964.377049180328,5,15.9575
D,1964-05-25,15,57.47,1964-05-25,15,57.46,1964.396174863388,5,15.957666666666666
D,1964-06-01,15,57.52,1964-06-01,15,57.5,1964.4153005464482,6,15.958333333333334
D,1964-06-08,15,57.5,1964-06-08,15,57.54,1964.4344262295083,6,15.959
D,1964-06-15,15,57.59,1964-06-15,15,57.54,1964.4535519125684,6,15.959
D,1964-06-22,15,57.54,1964-06-22,15,57.56,1964.4726775956285,6,15.959333333333333
D,1964-06-29,15,57.56,1964-06-29,15,57.51,1964.4918032786886,6,15.9585
D,1964-07-06,15,57.44,1964-07-06,15,57.51,1964.5109289617487,7,15.9585
D,1964-07-13,15,57.53,1964-07-13,15,57.55,1964.5300546448088,7,15.959166666666667
D,1964-07-20,15,57.67,1964-07-20,15,57.58,1964.549180327869,7,15.959666666666667
D,1964-07-27,15,57.53,1964-07-27,15,57.57,1964.568306010929,7,15.9595
D,1964-08-03,15,57.51,1964-08-03,15,57.6,1964.5874316939892,8,15.96
D,1964-08-10,15,57.75,1964-08-10,15,57.64,1964.6065573770493,8,15.960666666666667
D,1964-08-17,15,57.66,1964-08-17,15,57.7,1964.6256830601094,8,15.961666666666666
D,1964-08-24,15,57.6,1964-08-24,15,57.67,1964.6448087431695,8,15.961166666666667
D,1964-08-31,15,57.65,1964-08-31,15,57.69,1964.6639344262296,8,15.9615
D,1964-09-07,15,57.73,1964-09-07,15,57.69,1964.6830601092897,9,15.9615
D,1964-09-14,15,57.7,1964-09-14,15,57.71,1964.7021857923498,9,15.961833333333333
D,1964-09-21,15,58.69,1964-09-21,15,57.69,1964.72131147541,9,15.9615
D,1964-09-28,15,57.67,1964-09-28,15,57.63,1964.74043715847,9,15.9605
D,1964-10-05,15,57.53,1964-10-05,15,57.63,1964.75956284153,10,15.9605
D,1964-10-12,15,57.68,1964-10-12,15,57.59,1964.77868852459,10,15.959833333333334
D,1964-10-19,15,57.56,1964-10-19,15,57.67,1964.7978142076502,10,15.961166666666667
D,1964-11-09,15,57.77,1964-11-09,15,57.6,1964.8551912568305,11,15.96
D,1964-11-13,15,57.46,1964-11-13,15,57.65,1964.8661202185792,11,15.960833333333333
D,1964-11-16,15,57.72,1964-11-16,15,57.57,1964.8743169398906,11,15.9595
D,1964-11-23,15,57.53,1964-11-23,15,57.64,1964.8934426229507,11,15.960666666666667
D,1964-11-30,15,57.67,1964-11-30,15,57.61,1964.9125683060108,11,15.960166666666666
D,1964-12-07,15,57.64,1964-12-07,15,57.65,1964.931693989071,12,15.960833333333333
D,1964-12-14,15,57.65,1964-12-14,15,57.66,1964.950819672131,12,15.961
D,1964-12-21,15,57.7,1964-12-21,15,57.67,1964.9699453551912,12,15.961166666666667
D,1964-12-28,15,57.67,1964-12-28,15,57.65,1964.9890710382513,12,15.960833333333333
